0,CombatZoneResize,133,251,508,391,TLResume,,,,,
0,HeartTeleport,320,376,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,TLPause,,,,,,,,,,
0,Sound,mus_zz_megalovania,0,,,,,,,,
,,,,,,,,,,,
0.2,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,
0,Sound,mus_zz_megalovania,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0,SansText,You Wanna Have ,,,,,,,,,
0,SansText,A Bad Time!,,,,,,,,,
0.2,SET,Loop,5,,,,,,,,
0,JMPZ,44,$Loop,,,,,,,,
0,SUB,Loop,$Loop,,,,,,,,
0,RND,Direction,4,,,,,,,,
0,ADD,Jump,$Direction,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,0.26666,,
0,HeartMode,0,,,,,,0.333,0.26666,,
0.2,GasterBlaster,1,0,0,321,306,,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,166,0,0.333,0.26666,,
0,GasterBlaster,1,640,480,321,306,90,0.333,0.26666,,
0,GasterBlaster,1,0,0,189,446,180,0.333,0.26666,,
0.9,GasterBlaster,1,0,0,259,246,270,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,166,0,0.333,0.26666,,
0,GasterBlaster,1,640,480,379,366,90,0.333,0.26666,,
0,GasterBlaster,1,0,0,189,446,180,0.333,0.26666,,
0.9,GasterBlaster,1,640,0,449,176,270,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,176,45,0.333,0.26666,,
0,GasterBlaster,1,0,480,189,436,135,0.333,0.26666,,
0,GasterBlaster,1,0,0,189,436,225,0.333,0.26666,,
0.9,GasterBlaster,1,0,0,259,246,315,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,166,0,0.333,0.26666,,
0,GasterBlaster,1,640,480,379,366,90,0.333,0.5,,
0,GasterBlaster,1,0,240,139,446,180,0.666,0.5,,
0.6,GasterBlaster,2,640,240,499,306,270,0.666,0.666,,
0,GasterBlaster,2,,,,306,0,,,,
0,CombatZoneResizeInstant,239,226,404,391,,180,,,,
0,SansHead,Default,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,,,,,
0,HeartTeleport,320,376,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,TLPause,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,CombatZoneResize,239,226,404,391,,150,0.333,0.26666,,
0.6,HeartMode,0,,,,,210,0.333,0.26666,,
0.2,SansAnimation,Idle,,,,,330,0.333,0.5,,
0.4,GasterBlaster,1,640,0,480,304,90,0.444,0.26666,,
0,SansSweat,1,,,,,90,0.444,0.26666,,
0,GasterBlaster,1,0,0,160,304,90,0.444,0.26666,,
0.9,GasterBlaster,1,0,0,189,176,90,,0.26666,,
0,GasterBlaster,1,640,0,449,176,90,,0.26666,,
0,GasterBlaster,1,640,480,449,436,,,0.26666,,
0,GasterBlaster,1,0,480,189,436,,0.333,0.26666,,
0,SansSweat,0,,,,,,,0.26666,,
0,BlackScreen,1,,,,,180,0.333,0.26666,,
0,Sound,Flash,,,,,,0.333,0.26666,,
0.4,BlackScreen,0,,,,,0,0.333,0.26666,,
0,Sound,Flash,,,,,45,0.333,0.26666,,
0,SansHead,Default,,,,,135,0.333,0.26666,,
0.3,Sound,Warning,,,,,225,0.333,0.26666,,
0.3,GasterBlaster,1,0,0,189,176,45,0.333,0.26666,,
0.3,GasterBlaster,1,640,0,449,176,135,0.333,0.26666,,
0.3,GasterBlaster,1,640,480,449,436,225,0.333,0.26666,,
0.3,GasterBlaster,1,0,480,189,436,315,0.333,0.26666,,
