0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666,,
0.9,GasterBlaster,1,0,0,189,436,135,0.333,0.26666,,
0,GasterBlaster,1,640,480,259,436,225,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,246,315,0.333,0.26666,,
0,GasterBlaster,1,640,480,379,166,0,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,366,180,0.666,0.26666,,
0,GasterBlaster,2,0,240,379,446,270,0.666,0.26666,,
0,GasterBlaster,2,640,240,139,306,0,,0.26666,,
0.2,GasterBlaster,1,0,0,499,306,180,,0.26666,,
0,GasterBlaster,1,640,480,321,,,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,306,,0.333,0.26666,,
0,GasterBlaster,1,0,0,321,166,0,0.333,0.26666,,
0.9,GasterBlaster,1,0,0,189,306,90,0.333,0.26666,,
0,GasterBlaster,1,640,480,259,446,180,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,246,270,0.333,0.26666,,
0,GasterBlaster,1,0,0,379,166,0,0.333,0.26666,,
0.9,GasterBlaster,1,640,0,189,366,90,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,446,180,0.333,0.26666,,
0,GasterBlaster,1,0,480,449,176,270,0.333,0.26666,,
0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666,,
0.9,GasterBlaster,1,0,0,189,436,135,0.333,0.26666,,
0,GasterBlaster,1,640,480,259,436,225,0.333,0.26666,,
0,GasterBlaster,1,640,480,449,246,315,0.333,0.26666,,
0,GasterBlaster,1,0,240,379,166,0,0.333,0.26666,,
0.6,GasterBlaster,2,640,240,139,366,90,0.333,0.26666,,
0,GasterBlaster,2,,,499,446,180,,0.26666,,
